date_received;queue_name;agent_number;answered;consult;transfer;hangup
03/01/2014 08:01;30175;6947;03/01/2014 08:01;NULL;NULL;03/01/2014 08:01
03/01/2014 08:01;30175;6940;03/01/2014 08:01;NULL;NULL;03/01/2014 08:02
03/01/2014 08:02;30560;8076;03/01/2014 08:02;NULL;NULL;03/01/2014 08:04
03/01/2014 08:02;30560;6949;03/01/2014 08:03;NULL;NULL;03/01/2014 08:06
03/01/2014 08:03;30560;8514;03/01/2014 08:03;NULL;NULL;03/01/2014 08:03
03/01/2014 08:04;30560;8717;03/01/2014 08:04;NULL;NULL;03/01/2014 08:09
03/01/2014 08:06;30175;9424;03/01/2014 08:06;03/01/2014 08:08;03/01/2014 08:08;03/01/2014 08:15
03/01/2014 08:06;30560;8861;03/01/2014 08:06;NULL;NULL;03/01/2014 08:07
03/01/2014 08:06;30175;9425;03/01/2014 08:06;NULL;NULL;03/01/2014 08:09
03/01/2014 08:06;30560;8723;03/01/2014 08:06;03/01/2014 08:08;NULL;03/01/2014 08:13
03/01/2014 08:06;30175;6947;03/01/2014 08:06;NULL;NULL;03/01/2014 08:10
03/01/2014 08:07;30175;7531;03/01/2014 08:07;NULL;NULL;03/01/2014 08:13
03/01/2014 08:07;30175;9347;03/01/2014 08:07;NULL;NULL;03/01/2014 08:08
03/01/2014 08:07;30560;8514;03/01/2014 08:07;NULL;NULL;03/01/2014 08:07
03/01/2014 08:08;30560;8076;03/01/2014 08:08;NULL;NULL;03/01/2014 08:22
03/01/2014 08:08;30560;6949;03/01/2014 08:08;NULL;NULL;03/01/2014 08:15
03/01/2014 08:08;30175;8861;03/01/2014 08:08;NULL;NULL;03/01/2014 08:12
03/01/2014 08:09;30560;6940;03/01/2014 08:09;NULL;NULL;03/01/2014 08:10
03/01/2014 08:10;30175;8514;03/01/2014 08:10;NULL;NULL;03/01/2014 08:11
03/01/2014 08:11;30175;9424;03/01/2014 08:11;NULL;NULL;03/01/2014 08:11
03/01/2014 08:12;30175;8717;03/01/2014 08:12;NULL;NULL;03/01/2014 08:14
03/01/2014 08:12;30560;6947;03/01/2014 08:12;NULL;NULL;03/01/2014 08:14
03/01/2014 08:13;30560;6940;03/01/2014 08:14;NULL;NULL;03/01/2014 08:21
03/01/2014 08:16;30172;8514;03/01/2014 08:16;NULL;NULL;03/01/2014 08:17
03/01/2014 08:16;30560;8861;03/01/2014 08:16;NULL;NULL;03/01/2014 08:22
03/01/2014 08:17;30179;9425;03/01/2014 08:17;03/01/2014 08:17;03/01/2014 08:18;03/01/2014 08:20
03/01/2014 08:17;30175;9347;03/01/2014 08:17;NULL;NULL;03/01/2014 08:18
03/01/2014 08:17;30560;8717;03/01/2014 08:17;NULL;NULL;03/01/2014 08:23
03/01/2014 08:17;30560;6947;03/01/2014 08:17;NULL;NULL;03/01/2014 08:20
03/01/2014 08:19;30175;9424;03/01/2014 08:19;03/01/2014 08:20;03/01/2014 08:20;03/01/2014 08:27
03/01/2014 08:20;30560;6949;03/01/2014 08:20;NULL;NULL;03/01/2014 08:27
03/01/2014 08:21;30175;8514;03/01/2014 08:21;NULL;NULL;03/01/2014 08:24
03/01/2014 08:21;30175;7531;03/01/2014 08:21;NULL;NULL;03/01/2014 08:25
03/01/2014 08:23;30560;8723;03/01/2014 08:23;NULL;NULL;03/01/2014 08:29
03/01/2014 08:24;30560;6947;03/01/2014 08:24;NULL;NULL;03/01/2014 08:31
03/01/2014 08:24;30172;6940;03/01/2014 08:24;NULL;NULL;03/01/2014 08:26
03/01/2014 08:25;30560;8861;03/01/2014 08:25;NULL;NULL;03/01/2014 08:28
03/01/2014 08:26;30175;9425;03/01/2014 08:26;03/01/2014 08:27;03/01/2014 08:28;03/01/2014 08:29
03/01/2014 08:26;30560;8076;03/01/2014 08:26;NULL;NULL;03/01/2014 08:30
03/01/2014 08:27;30175;9347;03/01/2014 08:27;03/01/2014 08:28;03/01/2014 08:28;03/01/2014 08:28
03/01/2014 08:27;30175;9424;03/01/2014 08:27;03/01/2014 08:29;03/01/2014 08:29;03/01/2014 08:31
03/01/2014 08:27;30560;8717;03/01/2014 08:27;NULL;NULL;03/01/2014 08:30
03/01/2014 08:28;30560;8514;03/01/2014 08:28;NULL;NULL;03/01/2014 08:28
03/01/2014 08:28;30172;7531;03/01/2014 08:28;NULL;NULL;03/01/2014 08:34
03/01/2014 08:28;30560;6940;03/01/2014 08:28;NULL;NULL;03/01/2014 08:37
03/01/2014 08:28;30560;6949;03/01/2014 08:28;NULL;NULL;03/01/2014 08:32
03/01/2014 08:29;30172;8514;03/01/2014 08:29;NULL;NULL;03/01/2014 08:31
03/01/2014 08:29;30175;9425;03/01/2014 08:29;03/01/2014 08:36;03/01/2014 08:37;03/01/2014 08:41
03/01/2014 08:30;30560;8861;03/01/2014 08:30;NULL;NULL;03/01/2014 08:34
03/01/2014 08:30;30560;8723;03/01/2014 08:31;NULL;NULL;03/01/2014 08:33
03/01/2014 08:31;30560;8592;03/01/2014 08:31;NULL;NULL;03/01/2014 08:33
03/01/2014 08:31;30172;8076;03/01/2014 08:31;NULL;NULL;03/01/2014 08:36
03/01/2014 08:31;30560;8717;03/01/2014 08:31;NULL;NULL;03/01/2014 08:37
03/01/2014 08:31;30560;6947;03/01/2014 08:31;NULL;NULL;03/01/2014 08:37
03/01/2014 08:32;30241;9424;03/01/2014 08:32;NULL;NULL;03/01/2014 08:34
03/01/2014 08:32;30175;8514;03/01/2014 08:32;NULL;NULL;03/01/2014 08:35
03/01/2014 08:32;30175;6949;03/01/2014 08:32;03/01/2014 08:36;NULL;03/01/2014 08:38
03/01/2014 08:32;30241;8723;03/01/2014 08:33;03/01/2014 08:34;NULL;03/01/2014 08:35
03/01/2014 08:32;30560;8592;03/01/2014 08:33;NULL;NULL;03/01/2014 08:36
03/01/2014 08:33;30560;8861;03/01/2014 08:34;NULL;NULL;03/01/2014 08:38
