date_received;queue_name;agent_number;answered;consult;transfer;hangup
28/01/2014 08:01;30560;6947;28/01/2014 08:01;NULL;NULL;28/01/2014 08:04
28/01/2014 08:02;30560;6921;28/01/2014 08:02;NULL;NULL;28/01/2014 08:15
28/01/2014 08:02;30175;9502;28/01/2014 08:02;28/01/2014 08:04;28/01/2014 08:04;28/01/2014 08:05
28/01/2014 08:03;30560;6949;28/01/2014 08:03;NULL;NULL;28/01/2014 08:11
28/01/2014 08:05;30175;9506;28/01/2014 08:05;NULL;NULL;28/01/2014 08:10
28/01/2014 08:05;30179;6940;28/01/2014 08:05;NULL;NULL;28/01/2014 08:07
28/01/2014 08:05;30172;8391;28/01/2014 08:05;NULL;NULL;28/01/2014 08:17
28/01/2014 08:06;30175;6930;28/01/2014 08:06;NULL;NULL;28/01/2014 08:09
28/01/2014 08:07;30175;8076;28/01/2014 08:07;NULL;NULL;28/01/2014 08:10
28/01/2014 08:07;30175;9423;28/01/2014 08:07;NULL;NULL;28/01/2014 08:09
28/01/2014 08:08;30175;6936;28/01/2014 08:08;NULL;NULL;28/01/2014 08:09
28/01/2014 08:09;30560;8861;28/01/2014 08:09;28/01/2014 08:10;28/01/2014 08:10;28/01/2014 08:12
28/01/2014 08:10;30172;8077;28/01/2014 08:10;NULL;NULL;28/01/2014 08:11
28/01/2014 08:11;30175;9424;28/01/2014 08:11;28/01/2014 08:11;28/01/2014 08:12;28/01/2014 08:14
28/01/2014 08:11;30560;8514;28/01/2014 08:11;NULL;NULL;28/01/2014 08:11
28/01/2014 08:11;30172;6935;28/01/2014 08:11;NULL;NULL;28/01/2014 08:14
28/01/2014 08:13;30560;6944;28/01/2014 08:13;NULL;NULL;28/01/2014 08:17
28/01/2014 08:14;30175;9508;28/01/2014 08:14;NULL;NULL;28/01/2014 08:19
28/01/2014 08:16;30560;6947;28/01/2014 08:16;NULL;NULL;28/01/2014 08:18
28/01/2014 08:17;30175;9502;28/01/2014 08:17;NULL;NULL;28/01/2014 08:23
28/01/2014 08:19;30175;6940;28/01/2014 08:19;NULL;NULL;28/01/2014 08:20
28/01/2014 08:19;30066;6930;28/01/2014 08:19;NULL;NULL;28/01/2014 08:21
28/01/2014 08:19;30560;8393;28/01/2014 08:19;NULL;NULL;28/01/2014 08:19
28/01/2014 08:19;30172;8076;28/01/2014 08:19;NULL;NULL;28/01/2014 08:21
28/01/2014 08:20;30175;9423;28/01/2014 08:20;NULL;NULL;28/01/2014 08:21
28/01/2014 08:20;30560;8861;28/01/2014 08:20;NULL;NULL;28/01/2014 08:25
28/01/2014 08:21;30172;8077;28/01/2014 08:21;NULL;NULL;28/01/2014 08:26
28/01/2014 08:22;30560;6949;28/01/2014 08:22;NULL;NULL;28/01/2014 08:28
28/01/2014 08:23;30560;8514;28/01/2014 08:23;NULL;NULL;28/01/2014 08:25
28/01/2014 08:24;30175;9424;28/01/2014 08:24;NULL;NULL;28/01/2014 08:26
28/01/2014 08:24;30560;6935;28/01/2014 08:24;NULL;NULL;28/01/2014 08:28
28/01/2014 08:25;30175;9506;28/01/2014 08:25;28/01/2014 08:26;28/01/2014 08:26;28/01/2014 08:31
28/01/2014 08:25;30172;6936;28/01/2014 08:25;NULL;NULL;28/01/2014 08:31
28/01/2014 08:25;30560;6921;28/01/2014 08:25;NULL;NULL;28/01/2014 08:31
28/01/2014 08:26;30175;6944;28/01/2014 08:26;NULL;NULL;28/01/2014 08:36
28/01/2014 08:26;30172;8391;28/01/2014 08:26;NULL;NULL;28/01/2014 08:31
28/01/2014 08:26;30560;6947;28/01/2014 08:26;NULL;NULL;28/01/2014 08:29
28/01/2014 08:26;30172;6940;28/01/2014 08:26;NULL;NULL;28/01/2014 08:32
28/01/2014 08:26;30175;9512;28/01/2014 08:26;28/01/2014 08:27;NULL;28/01/2014 08:29
28/01/2014 08:27;30172;6930;28/01/2014 08:27;28/01/2014 08:30;NULL;28/01/2014 08:32
28/01/2014 08:28;30175;9508;28/01/2014 08:28;28/01/2014 08:29;28/01/2014 08:30;28/01/2014 08:34
28/01/2014 08:29;30560;8076;28/01/2014 08:29;NULL;NULL;28/01/2014 08:32
28/01/2014 08:29;30175;9423;28/01/2014 08:29;NULL;NULL;28/01/2014 08:30
28/01/2014 08:29;30175;9502;28/01/2014 08:29;28/01/2014 08:29;28/01/2014 08:30;28/01/2014 08:30
28/01/2014 08:29;30172;8514;28/01/2014 08:29;NULL;NULL;28/01/2014 08:30
28/01/2014 08:30;30560;8861;28/01/2014 08:30;NULL;NULL;28/01/2014 08:35
28/01/2014 08:30;30175;9424;28/01/2014 08:30;NULL;NULL;28/01/2014 08:31
28/01/2014 08:31;30560;6935;28/01/2014 08:31;NULL;NULL;28/01/2014 08:32
28/01/2014 08:31;30175;9506;28/01/2014 08:31;28/01/2014 08:32;28/01/2014 08:32;28/01/2014 08:37
28/01/2014 08:31;30175;6947;28/01/2014 08:31;NULL;NULL;28/01/2014 08:33
28/01/2014 08:31;30179;8393;28/01/2014 08:31;NULL;NULL;28/01/2014 08:32
28/01/2014 08:32;30175;9423;28/01/2014 08:32;NULL;NULL;28/01/2014 08:33
28/01/2014 08:32;30172;6933;28/01/2014 08:32;NULL;NULL;28/01/2014 08:37
28/01/2014 08:32;30172;8077;28/01/2014 08:32;28/01/2014 08:34;28/01/2014 08:35;28/01/2014 08:39
28/01/2014 08:32;30560;6949;28/01/2014 08:32;28/01/2014 08:34;28/01/2014 08:35;28/01/2014 08:37
28/01/2014 08:32;30175;9434;28/01/2014 08:32;NULL;NULL;28/01/2014 08:34
28/01/2014 08:33;30175;9502;28/01/2014 08:33;28/01/2014 08:34;28/01/2014 08:35;28/01/2014 08:41
28/01/2014 08:33;30175;8514;28/01/2014 08:33;NULL;NULL;28/01/2014 08:35
28/01/2014 08:34;30560;6943;28/01/2014 08:34;NULL;NULL;28/01/2014 08:40
28/01/2014 08:34;30172;6993;28/01/2014 08:34;NULL;NULL;28/01/2014 08:41
28/01/2014 08:35;30560;9350;28/01/2014 08:35;NULL;NULL;28/01/2014 08:37
28/01/2014 08:36;30560;8391;28/01/2014 08:36;NULL;NULL;28/01/2014 08:41
28/01/2014 08:36;30175;9508;28/01/2014 08:36;NULL;NULL;28/01/2014 08:37
28/01/2014 08:36;30560;6921;28/01/2014 08:36;NULL;NULL;28/01/2014 08:42
